"","decile","count","Min_prob","max_prob","default_cnt"
"1",10,4530,0.863076024330667,0.988297333759092,0
"2",9,4529,0.752476348718353,0.863053099249235,0
"3",8,4536,0.65117479769719,0.752447384399247,0
"4",7,4524,0.528370579851246,0.65116861218293,0
"5",6,4529,0.425458320110957,0.528359418869415,0
"6",5,4532,0.374909467135272,0.425454661806748,0
"7",4,4532,0.343801060472133,0.374873025521857,0
"8",3,4523,0.313822995318715,0.343782489096641,0
"9",2,4528,0.215811920017113,0.313676952575164,0
"10",1,4530,0.0389451704537974,0.215716948996815,0
